service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
80518,1,1,0,0,1,0,0,20241119,20250328
78588,0,1,0,0,1,0,0,20241119,20250328
78081,1,1,1,1,1,0,0,20241125,20250328
76788,1,1,0,0,1,0,0,20241125,20250328
74858,0,1,0,0,1,0,0,20241125,20250328
74717,0,1,0,0,0,0,0,20241125,20250328
66370,0,0,0,0,0,0,0,20241119,20250328
64980,0,0,0,0,0,0,0,20241119,20250328
62640,0,0,0,0,0,0,0,20241125,20250328
61669,0,0,0,0,0,0,0,20241119,20250327
61250,0,0,0,0,0,0,0,20241125,20250328
57939,0,0,0,0,0,0,0,20241202,20250327
53914,0,0,0,0,0,0,0,20241119,20250328
50282,0,0,0,0,0,0,0,20241125,20250328
50236,0,0,0,0,0,0,0,20241125,20250328
26552,0,0,0,0,0,0,0,20241127,20250326
21127,0,0,0,0,0,1,0,20241123,20250322
20929,0,0,0,0,0,0,1,20241124,20250323
20528,0,0,0,0,0,1,0,20241123,20250322
19973,0,0,0,0,0,0,1,20241124,20250323
19842,0,0,0,0,0,0,0,20241123,20250322
19056,0,0,0,0,0,1,0,20241123,20250322
18999,0,0,0,0,0,0,1,20241124,20250323
18849,0,0,0,0,0,0,0,20241125,20250328
18370,0,0,0,0,0,0,0,20241123,20250322
17753,0,0,0,0,0,0,0,20241124,20250323
17706,0,0,0,0,0,0,1,20241124,20250323
15538,0,0,0,0,0,0,0,20241127,20250221
14148,0,0,0,0,0,0,0,20241129,20250307
11924,0,0,0,0,0,0,0,20241120,20250326
11872,0,0,0,0,0,0,0,20241127,20250326
11552,0,0,0,0,0,0,0,20241120,20250326
11500,0,0,0,0,0,0,0,20241204,20250326
3730,0,1,1,1,1,0,0,20241119,20241122
3678,0,1,0,1,1,0,0,20241119,20241122
1472,0,0,0,0,0,1,0,20241123,20241123
904,0,0,1,0,0,0,0,20241127,20241127
801,0,0,0,1,0,0,0,20241128,20241128
686,0,0,0,0,0,1,0,20241130,20241130
445,0,0,0,0,0,0,1,20241201,20241201
52,0,0,1,0,0,0,0,20241120,20241120
