route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
100162,80518,347461007,"University District","LOCAL",1,7424195,30271008,0,101,1,1
100162,80518,347463287,"University District Bellevue","LOCAL",1,7424139,30271003,0,101,1,1
100162,80518,347463297,"University District Bellevue","LOCAL",1,7424145,30271003,0,101,1,1
100137,80518,347464337,"Eastgate P&R","LOCAL",1,7424189,20246003,0,101,1,1
100136,80518,347465657,"Factoria Crossroads","LOCAL",1,7424181,20245007,0,101,1,1
100133,80518,347468067,"Bellevue Transit Center","LOCAL",0,7424150,11240002,0,101,1,1
100133,80518,347468077,"Bellevue Transit Center","LOCAL",0,7424148,11240002,0,101,1,1
100133,80518,347468087,"Bellevue Transit Center","LOCAL",0,7424152,11240002,0,101,1,1
100133,80518,347468097,"Bellevue Transit Center","LOCAL",0,7424153,11240002,0,101,1,1
102548,20528,347619647,"Bellevue Transit Center Crossroads","LOCAL",1,7424257,30672003,0,101,1,1
102548,20528,347619657,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347619677,"Bellevue Transit Center Crossroads","LOCAL",1,7424257,30672003,0,101,1,1
102548,20528,347619697,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347619717,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347619727,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347619757,"Bellevue Transit Center Crossroads","LOCAL",1,7424262,30672003,0,101,1,1
102548,20528,347619777,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347619787,"Bellevue Transit Center Crossroads","LOCAL",1,7424262,30672003,0,101,1,1
102548,20528,347619797,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347619807,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347619817,"Bellevue Transit Center Crossroads","LOCAL",1,7424262,30672003,0,101,1,1
102548,20528,347619867,"Bellevue Transit Center Crossroads","LOCAL",1,7424261,30672003,0,101,1,1
102548,20528,347619887,"Bellevue Transit Center Crossroads","LOCAL",1,7424261,30672003,0,101,1,1
102548,20528,347619917,"Bellevue Transit Center Crossroads","LOCAL",1,7424259,30672003,0,101,1,1
102548,20528,347619927,"Bellevue Transit Center Crossroads","LOCAL",1,7424262,30672003,0,101,1,1
102548,20528,347619967,"Bellevue Transit Center Crossroads","LOCAL",1,7424263,30672003,0,101,1,1
102548,20528,347619987,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347619997,"Bellevue Transit Center Crossroads","LOCAL",1,7424259,30672003,0,101,1,1
102548,20528,347620007,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347620017,"Bellevue Transit Center Crossroads","LOCAL",1,7424263,30672003,0,101,1,1
102548,20528,347620057,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347620117,"Bellevue Transit Center Crossroads","LOCAL",1,7424258,30672003,0,101,1,1
102548,20528,347620127,"Bellevue Transit Center Crossroads","LOCAL",1,7424261,30672003,0,101,1,1
102548,20528,347620157,"Bellevue Transit Center Crossroads","LOCAL",1,7424261,30672003,0,101,1,1
102548,20528,347620187,"Bellevue Transit Center Crossroads","LOCAL",1,7424261,30672003,0,101,1,1
102548,20528,347620207,"Bellevue Transit Center Crossroads","LOCAL",1,7424261,30672003,0,101,1,1
102548,20528,347620217,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347620237,"Bellevue Transit Center Crossroads","LOCAL",1,7424259,30672003,0,101,1,1
102548,20528,347620277,"Bellevue Transit Center Crossroads","LOCAL",1,7424263,30672003,0,101,1,1
102548,20528,347620287,"Bellevue Transit Center Crossroads","LOCAL",1,7424257,30672003,0,101,1,1
102548,20528,347620307,"Bellevue Transit Center Crossroads","LOCAL",1,7424257,30672003,0,101,1,1
102548,20528,347620327,"Bellevue Transit Center Crossroads","LOCAL",1,7424258,30672003,0,101,1,1
102548,20528,347620347,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347620377,"Bellevue Transit Center Crossroads","LOCAL",1,7424259,30672003,0,101,1,1
102548,20528,347620387,"Bellevue Transit Center Crossroads","LOCAL",1,7424257,30672003,0,101,1,1
102548,20528,347620397,"Bellevue Transit Center Crossroads","LOCAL",1,7424259,30672003,0,101,1,1
102548,20528,347620407,"Bellevue Transit Center Crossroads","LOCAL",1,7424257,30672003,0,101,1,1
102548,20528,347620417,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347620447,"Bellevue Transit Center Crossroads","LOCAL",1,7424257,30672003,0,101,1,1
102548,20528,347620457,"Bellevue Transit Center Crossroads","LOCAL",1,7424259,30672003,0,101,1,1
102548,20528,347620497,"Bellevue Transit Center Crossroads","LOCAL",1,7424258,30672003,0,101,1,1
102548,20528,347620517,"Bellevue Transit Center Crossroads","LOCAL",1,7424263,30672003,0,101,1,1
102548,20528,347620527,"Bellevue Transit Center Crossroads","LOCAL",1,7424257,30672003,0,101,1,1
102548,20528,347620557,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347620567,"Bellevue Transit Center Crossroads","LOCAL",1,7424262,30672003,0,101,1,1
102548,20528,347620577,"Bellevue Transit Center Crossroads","LOCAL",1,7424258,30672003,0,101,1,1
102548,20528,347620597,"Bellevue Transit Center Crossroads","LOCAL",1,7424259,30672003,0,101,1,1
102548,20528,347620617,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347620627,"Bellevue Transit Center Crossroads","LOCAL",1,7424261,30672003,0,101,1,1
102548,20528,347620687,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347620707,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347620717,"Bellevue Transit Center Crossroads","LOCAL",1,7424259,30672003,0,101,1,1
102548,20528,347620737,"Bellevue Transit Center Crossroads","LOCAL",1,7424261,30672003,0,101,1,1
102548,20528,347620747,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347620777,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347620807,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347620827,"Bellevue Transit Center Crossroads","LOCAL",1,7424259,30672003,0,101,1,1
102548,20528,347620837,"Bellevue Transit Center Crossroads","LOCAL",1,7424263,30672003,0,101,1,1
102548,20528,347620867,"Bellevue Transit Center Crossroads","LOCAL",1,7424256,30672003,0,101,1,1
102548,20528,347620877,"Bellevue Transit Center Crossroads","LOCAL",1,7424257,30672003,0,101,1,1
102548,20528,347620917,"Bellevue Transit Center Crossroads","LOCAL",1,7424263,30672003,0,101,1,1
102548,20528,347620927,"Bellevue Transit Center Crossroads","LOCAL",1,7424258,30672003,0,101,1,1
102548,20528,347620937,"Bellevue Transit Center Crossroads","LOCAL",1,7424262,30672003,0,101,1,1
102548,20528,347620967,"Bellevue Transit Center Crossroads","LOCAL",1,7424260,30672003,0,101,1,1
102548,20528,347620987,"Bellevue Transit Center Crossroads","LOCAL",1,7424257,30672003,0,101,1,1
102548,20528,347620997,"Bellevue Transit Center Crossroads","LOCAL",1,7424261,30672003,0,101,1,1
102548,20528,347621007,"Bellevue Transit Center Crossroads","LOCAL",1,7424258,30672003,0,101,1,1
102548,20528,347621037,"Bellevue Transit Center Crossroads","LOCAL",1,7424258,30672003,0,101,1,1
102548,20528,347621057,"Bellevue Transit Center Crossroads","LOCAL",1,7424261,30672003,0,101,1,1
100236,18999,347630497,"Redmond","EXPRESS",0,7448970,41545006,0,501,1,1
100236,18999,347630507,"Downtown Seattle","EXPRESS",1,7448971,30545007,0,501,1,1
100236,18999,347630537,"Downtown Seattle","EXPRESS",1,7448973,30545007,0,501,1,1
100236,18999,347630557,"Redmond","EXPRESS",0,7448972,41545006,0,501,1,1
